Job_id,Job,Company Name,location,Industry,Employee Count,LinkedIn_Followers,Involvement,Level ,Total_Applicants
J37,Data Analyst,Moody's Corporation,"Bengaluru, Karnataka, India",Financial Services ,"10,001","142,128 ",Full-time ,NA,84
J38,PRODUCT PRICING ANALYST I,TE Connectivity,"Bengaluru, Karnataka, India",Electrical & Electronic Manufacturing,"10,001","442,595 ",Full-time ,Associate,33
J39,Growth Analyst,Turing.com,"Bengaluru, Karnataka, India",Information Technology & Services,"5,000","127,941 ",Full-time,NA,84
J40,Business Analyst,Novo Nordisk,"Bengaluru, Karnataka, India",Pharmaceuticals  ,"10,001","1,302,821 ",Full-time,NA,3
J41,Analyst,Barclays,"Pune, Maharashtra, India",Financial Services ,"10,001","1,251,058 ",Full-time,Associate,10
J42,Data Analyst,Chubb,"Bengaluru, Karnataka, India",Insurance ,"10,001","615,145 ",Full-time ,Entry level,25
J43,MI Analyst,American Express  ,"Gurgaon, Haryana, India",Financial Services ,"10,001","17,01,642",Full-time,NA,45
J44,Data Analyst (Temporary Full Time),Electronic Arts (EA),"Hyderabad, Telangana, India",Computer Games,"10,001","1,075,143 ",Full-time,NA,200
J45,Power Electronic Systems Engineer,Jaguar Land Rover India," Bangalore Urban, Karnataka, India ",Automotive  ,201-500,"102,725 ",Full-time , Mid-Senior level,200
J46,Technical Lead - Data Engineering,Viasat Inc. ,Viasat Inc. ,Telecommunications,"5,001-10,000","90,749 ",Full-time,NA,7 
